tile_m,tile_n,splitK,bpreshuffle,knl_name,co_name
128,128,1,1,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,fp8gemm_bf16_blockscale_BpreShuffle_128x128.co
64,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,fp8gemm_bf16_blockscale_BpreShuffle_64x128.co
